10,161883905308379,-0.7787714,0.1425674,0.7313242
4,161883147930046,-1.7235979,-0.072171666,0.4415521
11,161883918154577,-0.224986,-0.100795,-0.437856,0.864582,0.0
10,161883918154577,-0.842525,0.054959297,0.7467432
4,161883154542494,-1.6588831,-0.08468852,0.4825648
11,161883930993327,-0.224535,-0.099612,-0.436775,0.865383,0.0
10,161883930993327,-0.748358,-0.008715153,0.6208
4,161883157550775,-1.6588831,-0.08468852,0.4825648
11,161883943821973,-0.224649,-0.098623,-0.437658,0.865021,0.0
10,161883943821973,-0.7931998,-0.013582468,0.6466894
4,161883164363067,-1.6399746,-0.08974853,0.49614692
11,161883960095983,-0.224685,-0.097148,-0.438183,0.864912,0.0
11,161883973257858,-0.224382,-0.096864,-0.437792,0.865221,0.0
10,161883960095983,-0.8711462,0.048486948,0.82090855
4,161883170203067,-1.6325178,-0.09773801,0.5041364
11,161883987389264,-0.224003,-0.096505,-0.438418,0.865042,0.0
4,161883174137494,-1.6346483,-0.11744541,0.51931643
10,161883973257858,-0.7811878,0.19393682,0.8099756
10,161883998038691,-0.7503526,0.4560051,0.48334885
11,161883998038691,-0.223046,-0.096531,-0.437771,0.865614,0.0
4,161883179207077,-1.6389093,-0.12916331,0.52810484
10,161883987389264,-0.7503526,0.4560051,0.48334885
4,161883186582702,-1.6389093,-0.12916331,0.52810484
11,161884010359472,-0.222763,-0.096544,-0.437531,0.865807,0.0
10,161884010359472,-0.7474599,0.45238662,0.48092365
4,161883190341556,-1.6415725,-0.14993598,0.54621434
11,161884025601920,-0.222599,-0.096461,-0.437828,0.865708,0.0
10,161884025601920,-0.6475899,0.3559456,0.38580322
4,161883195995671,-1.6389093,-0.16271915,0.5523396
11,161884039907337,-0.221959,-0.096626,-0.437625,0.865956,0.0
10,161884039907337,-0.64448214,0.3451264,0.38084793
4,161883201987077,-1.6290556,-0.17656758,0.5550028
11,161884052804889,-0.221765,-0.096441,-0.438702,0.865482,0.0
10,161884052804889,-0.60276127,0.53803897,0.18692207
4,161883206534212,-1.6138756,-0.18961707,0.5563344
11,161884069569785,-0.221529,-0.096133,-0.439517,0.865162,0.0
11,161884084140045,-0.2213,-0.096027,-0.439413,0.865286,0.0
10,161884069569785,-0.7285254,0.28012705,0.53805447
4,161883211534212,-1.5917714,-0.20559604,0.5547365
10,161884084140045,-0.7285254,0.28012705,0.53805447
4,161883217180567,-1.5917714,-0.20559604,0.5547365
11,161884099148170,-0.220685,-0.095778,-0.43987,0.865238,0.0
10,161884099148170,-0.72088695,0.27076983,0.5317869
10,161884111306608,-0.64413714,0.28893995,0.42906475
11,161884111306608,-0.220426,-0.095798,-0.439646,0.865416,0.0
4,161883219381869,-1.5164039,-0.23489082,0.5603291
